Item,Price,Image
"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable entertainment, Black",$63.92 ,https://m.media-amazon.com/images/I/71rQHf5SUPL._AC_UY436_QL65_.jpg
"Samsung Tab A7 Lite 8.7"" Gray 32GB (SM-T220NZAAXAR)",$102.78 ,https://m.media-amazon.com/images/I/819hAP4xoGS._AC_UL640_QL65_.jpg
"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Twilight Blue",$32.19 ,https://m.media-amazon.com/images/I/71sONE4A2RL._AC_UL640_QL65_.jpg
"HP 15-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",$447.22 ,https://m.media-amazon.com/images/I/71RD3vsjIYL._AC_UY436_QL65_.jpg
Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Silver (SM-T500NZSAXAR),$153.70 ,https://m.media-amazon.com/images/I/71MvL2kCFCL._AC_UL640_QL65_.jpg
"Lenovo IdeaPad 3 11 Chromebook Laptop, 11.6"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Chrome OS",$78.81 ,https://m.media-amazon.com/images/I/71XIwK5G75L._AC_UY436_QL65_.jpg
"MSI GL66 Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD, Win10, Black (11UGK-001)","$1,076.58 ",https://m.media-amazon.com/images/I/61Ze2wc9nyS._AC_UY436_QL65_.jpg
"2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Silver","$1,011.99 ",https://m.media-amazon.com/images/I/71gD8WdSlaL._AC_UY436_QL65_.jpg
"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Lavender",$90.19 ,https://m.media-amazon.com/images/I/61W+vYdPNiS._AC_UL640_QL65_.jpg
"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS Micro-Edge Display, Windows 11 Pro, Compact Design, Long Battery Life (15-eg0025nr, 2021)",$720.36 ,https://m.media-amazon.com/images/I/711Nx6ZoRML._AC_UY436_QL65_.jpg
"Galaxy Tab S7 FE 2021 Android Tablet 12.4” Screen WiFi 64GB S Pen Included Long-Lasting Battery Powerful Performance, Mystic Black",$364.99 ,https://m.media-amazon.com/images/I/91pjZAMbEUS._AC_UL640_QL65_.jpg
